year,Italy,Germany,France,Spain
1960,,,,
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,100,100,100,100
1971,104.470453,104.3642719,104.971212,104.0989774
1972,109.645891,109.5648005,112.0298348,112.4729866
1973,116.781447,115.1536852,118.4983452,119.5788408
1974,123.247797,119.8026326,124.5406293,125.0297586
1975,121.559934,124.3101939,126.035443,127.158562
1976,129.058787,130.1058861,128.6263475,132.3021889
1977,134.414811,135.4637861,134.6590593,137.1982787
1978,139.057359,139.6457367,141.5797304,143.6230657
1979,146.237008,143.6442382,145.9031555,149.4601105
1980,149.014098,144.8535613,148.3008173,158.5177401
1981,149.88691,147.2617361,151.7650821,165.1312276
1982,149.285197,148.7853769,161.6075186,170.5465106
1983,150.603675,153.6670732,165.5388029,177.2279036
1984,156.335836,157.7257114,169.5746066,189.0678858
1985,159.502924,161.3650972,176.3899928,196.5628642
1986,162.207548,163.8101509,180.2846359,199.2604554
1987,165.311049,166.0509569,182.0624597,201.6120969
1988,170.085515,170.334309,187.9420468,205.1845993
1989,176.134406,176.2620622,194.6407663,208.9969209
1990,177.830903,182.490391,199.3092086,208.7214988
1991,177.913174,188.8350557,201.8064534,210.4118972
1992,180.402998,193.6553482,206.6637622,216.3530434
1993,183.81526,197.4258265,208.5869068,221.3904013
1994,191.536368,202.5351288,212.890892,227.8745753
1995,197.214687,205.5858021,218.1846718,229.7804501
1996,197.440021,209.0462609,220.562071,232.3251378
1997,201.083855,214.1696993,224.2115724,231.9367263
1998,201.221831,216.3506905,229.7575707,230.8438279
1999,202.636934,218.80714,233.0684784,230.0300908
2000,208.456183,224.2313498,239.2416484,231.0994126
2001,209.854101,229.8626504,243.7178784,231.4695187
2002,208.208481,231.993662,250.8330878,231.8285532
2003,206.733052,233.77811,252.2647382,232.5184101
2004,208.466715,235.9071721,255.052592,233.263787
2005,209.398122,239.6301456,257.316405,234.1748943
2006,208.937122,243.462414,263.7226842,235.5443636
2007,208.778312,246.3388733,262.4866955,238.1476404
2008,207.587853,246.4029477,260.8120109,238.7609432
2009,203.452592,238.9859964,258.1444183,244.51495
2010,208.078029,244.4950353,261.4860603,250.7309411
2011,209.482742,250.8543305,264.1043234,254.4324007
2012,208.362981,252.4020223,264.9672202,259.3392855
2013,210.019153,253.6002534,268.5555592,263.0806645
2014,210.186218,256.2286276,271.1396002,263.8642773
2015,210.311002,257.534016,273.3393616,265.9514912
2016,209.664518,261.0244698,274.1031455,267.1505867
2017,211.017054,265.6775274,279.886088,269.4791968
2018,210.99092,266.2275506,281.032845,268.8746704
2019,212.07516,268.2546188,282.1292338,269.3238252
2020,216.861296,270.8873865,283.5528262,268.5609461
2021,214.077274,273.2446494,279.3184906,263.8319855
