year,Italy,Germany,France,Spain
1960,100,100,100,100
1961,107.2710217,106.2120501,107.163303,111.4454351
1962,115.0790203,112.4823984,114.7244453,121.4606567
1963,122.3852463,115.9191538,122.9233165,135.0041937
1964,127.2902281,123.1104647,131.2392769,142.9399522
1965,132.4848655,130.2910128,137.1152591,154.9631885
1966,139.8579351,133.6610989,144.5760079,167.221273
1967,150.3724301,132.8323672,152.7463209,176.600292
1968,159.5170774,137.4123658,159.823949,187.813364
1969,171.3940674,147.9090368,170.5671461,202.0061508
1970,184.0604801,158.7708939,178.92177,211.0316548
1971,189.8685187,167.9552569,189.7548159,217.3874685
1972,196.5386166,175.5850003,199.6812453,237.7074338
1973,206.9599763,180.5330252,211.9288063,258.9183312
1974,212.613829,178.0831542,218.402536,273.9225249
1975,210.1025158,181.3500973,220.0391469,275.4353701
1976,216.5420034,187.9697866,229.6158468,287.0007145
1977,222.3446945,195.2326996,233.893662,290.4861607
1978,227.3196393,203.0313585,243.5742703,292.2319903
1979,239.9073994,211.3615776,251.5861945,293.4205213
1980,252.4033609,215.7774443,256.7365759,296.5400267
1981,254.6854007,214.9376508,260.4658519,295.3142183
1982,254.8306741,210.9917575,267.0353618,298.0739958
1983,255.0289767,213.8530048,267.9314337,299.5905688
1984,261.9091863,216.8072302,269.6919437,297.2980025
1985,267.9661058,219.7693782,275.6076879,307.5250847
1986,277.2524615,226.7378104,285.3682594,322.7945699
1987,288.1726971,232.6665909,295.5547891,347.7847846
1988,301.2239059,239.5215659,308.9264492,370.4364574
1989,311.0699652,246.5840227,320.4747709,397.7571371
1990,318.9936031,258.1517368,330.7208337,416.246777
1991,325.9489003,320.3027322,333.9641791,429.2019509
1992,328.681243,332.5251804,337.2457487,433.1223013
1993,314.9014391,329.3579422,335.7231513,421.5277562
1994,316.7340673,336.9718405,340.2155933,426.3533286
1995,321.1713669,341.1882973,344.4206947,439.6359231
1996,325.0944166,345.68623,350.6204842,449.3578951
1997,333.4106491,348.1665954,353.0866042,464.5540679
1998,344.1178764,355.9165229,364.908866,490.9316269
1999,353.693442,365.6402192,379.2214126,519.497375
2000,366.5372129,372.031499,393.8997252,546.5372309
2001,373.6453592,372.6751712,402.2730218,568.1097201
2002,377.5129287,365.4717523,407.736666,587.6698456
2003,379.5155623,365.6923886,414.5959329,610.2239756
2004,383.4744847,366.2804534,424.2648981,638.0516293
2005,388.3152967,369.0539543,433.8191907,670.8154453
2006,393.1396206,378.4704637,443.7416659,704.5758131
2007,397.5722412,382.0486297,457.5151194,732.8570097
2008,393.1873024,386.8935116,460.8885149,728.488708
2009,381.4890076,381.0967242,454.3354811,685.8904663
2010,384.2645758,387.8786022,462.4390115,680.9915815
2011,381.7381113,398.8035409,467.2295583,660.2019198
2012,364.4621654,403.0902546,468.1484769,631.6088348
2013,353.8122007,403.9762382,470.23565,613.2589854
2014,352.3674882,410.6377826,473.8271871,623.2555683
2015,357.0833027,419.2559053,479.8272881,642.569041
2016,362.8418771,432.1727003,488.8534717,657.2389798
2017,368.3702867,439.636219,499.4360832,679.1662266
2018,372.6199787,447.4229193,506.7314135,697.5862819
2019,373.57807,456.0219082,517.4350683,710.8334628
2020,343.1223527,442.3862512,483.6055526,650.4637942
2021,365.1060919,447.4613363,515.8650202,677.9503588
