,lrate,pdebt
1950,5.73,30.19335754
1951,6.11,29.96221388
1952,5.9,31.77000312
1953,6.06,32.45557169
1954,6.06,33.96507601
1955,6.2,33.81815211
1956,6.74,32.72693721
1957,6.815,31.99361242
1958,6.81833,31.77145817
1959,5.56333,32.79761287
1960,5.005,31.20536478
1961,5.185,29.49221784
1962,5.78167,28.44867442
1963,6.09833,26.58029796
1964,7.4075,26.46747729
1965,6.93583,27.54623649
1966,6.53917,32.21545993
1967,6.61333,31.7970091
1968,6.695,34.19836551
1969,6.85417,34.81523716
1970,9.01,35.72882316
1971,8.34417,40.38746742
1972,7.47083,45.91383445
1973,7.42,48.75596011
1974,9.87083,48.33087438
1975,11.5375,54.52843289
1976,13.0783,54.14944391
1977,14.6167,53.19514184
1978,13.6958,57.24803951
1979,14.0542,56.09292676
1980,15.2525,54.01107502
1981,19.3575,56.27516593
1982,20.215,60.77468743
1983,18.2992,66.78356488
1984,15.5992,72.07357626
1985,13.7125,77.84038169
1986,11.4683,81.88385246
1987,10.6417,85.73021671
1988,10.8958,87.38156646
1989,12.7858,89.77111334
1990,13.5358,91.58087794
1991,13.2825,94.79407042
1992,13.2675,101.4149378
1993,11.1867,111.1803332
1994,10.52,117.1308884
1995,12.205,116.8274901
1996,9.40083,116.165772
1997,6.8625,113.4476085
1998,4.88417,110.3548288
1999,4.7275,109.3568298
2000,5.57583,104.8865899
2001,5.18917,104.5344659
2002,5.03583,101.6452914
2003,4.24833,100.1568661
2004,4.25833,99.69548737
2005,3.55583,101.5009065
2006,4.0475,102.1185661
2007,4.48732,99.29617739
2008,4.68115,106.164
2009,4.31333,116.61
2010,4.03583,119.198
2011,5.42417,119.692
2012,5.4925,126.493
2013,4.31667,132.455
2014,2.8925,135.366
2015,1.714166667,135.28
2016,1.4875,134.784
2017,2.111666667,134.135
2018,2.61,134.4
2019,1.950333333,134.563
2020,1.167916667,155.812
2021,0.81,150.2818
