year,France,Germany,Italy,Spain
1990,2.52,2.5,3.02,3.55
1991,2.52,2.5,3.02,3.55
1992,2.52,2.5,3.02,3.55
1993,2.52,2.5,3.02,3.55
1994,2.52,2.6,3.02,3.55
1995,2.52,2.6,3.02,2.36
1996,2.52,2.6,3.02,2.36
1997,2.52,2.6,3.02,2.36
1998,2.52,2.6,3.02,2.36
1999,2.58,2.6,3.02,2.36
2000,2.58,2.6,3.02,2.36
2001,2.58,2.6,3.02,2.36
2002,2.58,2.6,3.02,2.36
2003,2.71,2.6,3.02,2.36
2004,2.71,2.6,3.02,2.36
2005,2.71,2.6,3.02,2.36
2006,2.71,2.6,3.02,2.36
2007,2.71,2.6,3.02,2.36
2008,2.58,2.6,3.02,2.36
2009,2.5,2.6,3.02,2.36
2010,2.5,2.6,3.02,2.36
2011,2.5,2.6,3.02,2.21
2012,2.5,2.6,3.02,2.21
2013,2.5,2.6,2.93,1.96
2014,2.5,2.6,2.93,1.96
2015,2.5,2.6,2.93,1.96
2016,2.5,2.6,2.47,1.96
2017,2.5,2.6,2.47,1.96
2018,2.56,2.6,2.47,1.96
2019,2.56,2.6,2.56,2.05
