year,ITADEU,ITAFRA,ITAESP
1983,,3.27,
1984,-4.9,1.79,
1985,-5.2,0.08,
1986,-6.7,-1.85,
1987,-6.26,-1.73,-10.22
1988,-5.63,-2.08,-16.62
1989,-4.71,-2.19,-20.26
1990,-5.31,-5.31,-24.6
1991,-4.67,-4.81,-26.79
1992,-3.03,-2.97,-25.99
1993,-4.33,-4.88,-26.17
1994,-3.08,-3.7,-26.38
1995,-3.19,-5.11,-27.79
1996,-3.65,-5.15,-26.16
1997,-3.53,-4.92,-25.44
1998,-3.69,-5.45,-24.44
1999,-3.29,-4.22,-22.93
2000,-2.63,-5.33,-22.07
2001,-2.66,-5.1,-22.42
2002,-2.14,-4.27,-22.15
2003,-2.36,-3.56,-22.06
2004,-0.63,-1.48,-20.71
2005,-2.03,-1.69,-21.18
2006,-1.42,-1.72,-20.85
2007,-1.48,-1.91,-18.39
2008,-1.45,-1.78,-15.83
2009,-2.09,-2.03,-12.76
2010,-1.85,-2.42,-12.06
2011,-1.26,-2.08,-11.85
2012,0.09,-1.46,-9.62
2013,-0.12,-2.82,-9.96
2014,0.53,-2.46,-10.43
2015,0.96,-2.71,-11.11
2016,0.85,-2.25,-12.05
2017,2.55,-1.5,-11.27
2018,4.47,0.32,-9.79
2019,5.04,0.67,-9.27
2020,4.21,-0.34,-9
2021,5.07,1.35,-8.64
